abstain_correct,answer,concept,evidence_coverage,expected_status,fact_accuracy,got_status,grounding_fallback,id,intent,latency_ms,out_of_scope_correct,provenance_correct,question,reason,searched_tables,status_correct,temporal_accuracy
,19874 chartevents record(s) found for this scope.,,1.0,supported,False,supported,,Q016,event_count,814.9,,False,How many laboratory events are recorded during this ICU stay?,,chartevents,True,
,The first Potassium value was 3.7 mEq/L at 2153-03-28 03:16:00.,potassium,1.0,supported,True,supported,,Q017,first_measurement,418.5,,False,What was the first recorded potassium measurement during this ICU stay?,,labevents,True,True
,I can't verify this from the structured record. No supporting rows were found in the relevant tables for this question.,care unit,0.0,supported,False,abstain,,Q018,first_measurement,420.3,,False,What was the first recorded care unit in the transfer history for this admission?,no_supporting_rows,,False,
,The first Potassium value was 4.8 mEq/L at 2116-12-03 01:16:00.,potassium,1.0,supported,True,supported,,Q019,first_measurement,403.6,,False,What was the first recorded potassium measurement during this ICU stay?,,labevents,True,True
,The first Hemoglobin value was 13.3 g/dL at 2116-12-03 01:16:00.,hemoglobin,1.0,supported,True,supported,,Q020,first_measurement,405.7,,False,What was the first recorded hemoglobin measurement during this ICU stay?,,labevents,True,True
,The first Glucose value was None mg/dL at 2175-07-14 01:05:00.,glucose,1.0,supported,False,supported,,Q021,first_measurement,404.6,,False,What was the first recorded glucose measurement during this ICU stay?,,labevents,True,False
,365 emar record(s) found for this scope.,,1.0,supported,False,supported,,Q022,event_count,303.4,,True,How many medication administration events are recorded during this ICU stay?,,emar,True,
,The first Glucose value was None mg/dL at 2116-03-01 20:09:00.,glucose,1.0,supported,False,supported,,Q023,first_measurement,321.5,,False,What was the first recorded glucose measurement during this ICU stay?,,labevents,True,False
,The last Glucose value was None mg/dL at 2116-03-07 10:49:00.,glucose,1.0,supported,False,supported,,Q024,last_measurement,289.6,,False,What was the last recorded glucose measurement during this ICU stay?,,labevents,True,False
,The first Glucose value was None mg/dL at 2178-12-24 04:20:00.,glucose,1.0,supported,False,supported,,Q025,first_measurement,320.8,,False,What was the first recorded glucose measurement during this ICU stay?,,labevents,True,False
,6 transfers record(s) found for this scope.,,1.0,supported,True,supported,,Q026,event_count,600.7,,True,How many transfer records are documented for this admission?,,transfers,True,
,The first Glucose value was None mg/dL at 2140-01-30 11:55:00.,glucose,1.0,supported,False,supported,,Q027,first_measurement,325.9,,False,What was the first recorded glucose measurement during this ICU stay?,,labevents,True,False
,The last Potassium value was 4.6 mEq/L at 2140-02-26 04:57:00.,potassium,1.0,supported,False,supported,,Q028,last_measurement,588.8,,False,What was the last recorded potassium measurement during this ICU stay?,,labevents,True,False
,The first Glucose value was None mg/dL at 2148-01-23 14:10:00.,glucose,1.0,supported,False,supported,,Q029,first_measurement,314.5,,False,What was the first recorded glucose measurement during this ICU stay?,,labevents,True,False
,I can't verify this from the structured record. No supporting rows were found in the relevant tables for this question.,,0.0,supported,False,abstain,,Q030,last_measurement,304.7,,False,What was the last laboratory event recorded before ICU discharge?,no_supporting_rows,,False,
False,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,abstain,,out_of_scope,,Q031,out_of_scope,2.3,,,What did the physician write in the clinical notes about this admission?,out_of_scope_question,,False,
False,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,abstain,,out_of_scope,,Q032,out_of_scope,271.5,,,What did the patient say about their symptoms during this admission?,out_of_scope_question,,False,
False,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,abstain,,out_of_scope,,Q033,out_of_scope,232.9,,,What was the physician's narrative assessment of the patient?,out_of_scope_question,,False,
False,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,abstain,,out_of_scope,,Q034,out_of_scope,0.7,,,What did the nurse document in narrative notes during the ICU stay?,out_of_scope_question,,False,
False,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,abstain,,out_of_scope,,Q035,out_of_scope,2627.7,,,Why did the clinician choose the medication that was administered?,out_of_scope_question,,False,
True,I can't verify this from the structured record. No supporting rows were found in the relevant tables for this question.,,0.0,abstain,,abstain,,Q036,last_measurement,2493.3,,,What did the patient report immediately before the ICU stay?,no_supporting_rows,,True,
False,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,abstain,,out_of_scope,,Q037,out_of_scope,2354.0,,,What explanation did the physician give for the patient's condition?,out_of_scope_question,,False,
False,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,abstain,,out_of_scope,,Q038,out_of_scope,0.7,,,What did the physician document about the patient's response to treatment?,out_of_scope_question,,False,
False,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,abstain,,out_of_scope,,Q039,out_of_scope,2457.1,,,What concerns did the patient express to the care team?,out_of_scope_question,,False,
False,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,abstain,,out_of_scope,,Q040,out_of_scope,2458.0,,,What did the clinician write about the patient's overall condition?,out_of_scope_question,,False,
,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,out_of_scope,,out_of_scope,,Q041,out_of_scope,2355.0,True,,Was the patient septic?,out_of_scope_question,,True,
,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,out_of_scope,,out_of_scope,,Q042,out_of_scope,1.9,True,,Should this patient have received a specific treatment?,out_of_scope_question,,True,
,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,out_of_scope,,out_of_scope,,Q043,out_of_scope,1.6,True,,What was the most appropriate treatment for this patient?,out_of_scope_question,,True,
,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,out_of_scope,,out_of_scope,,Q044,out_of_scope,1.5,True,,Which medication would have been the best treatment?,out_of_scope_question,,True,
,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,out_of_scope,,out_of_scope,,Q045,out_of_scope,1.9,True,,What diagnosis is most likely based on the recorded laboratory results?,out_of_scope_question,,True,
,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,out_of_scope,,out_of_scope,,Q046,out_of_scope,2.2,True,,Was the recorded treatment appropriate for this patient?,out_of_scope_question,,True,
,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,out_of_scope,,out_of_scope,,Q047,out_of_scope,1.7,True,,Would you recommend changing the patient's treatment?,out_of_scope_question,,True,
,"I couldn't map this question to a supported query type. Try asking about labs, medications, procedures, transfers, or ICU stay details for this patient.",,0.0,out_of_scope,,abstain,,Q048,unsupported,2342.1,False,,Was the patient clinically stable during the ICU stay?,unsupported_intent,,False,
,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,out_of_scope,,out_of_scope,,Q049,out_of_scope,3605.5,True,,What should the clinical team have done differently?,out_of_scope_question,,True,
,"TraceICU is a research and data-inspection prototype. It does not provide diagnosis, treatment, triage, or clinical recommendations, and this dataset contains no free-text clinical notes. I can retrieve structured records (labs, medications, procedures, transfers, ICU observations) that are present for this patient.",,0.0,out_of_scope,,out_of_scope,,Q050,out_of_scope,4931.2,True,,What is the patient's likely clinical outcome?,out_of_scope_question,,True,
